,Unnamed: 0,acousticness,artist_name,danceability,duration_ms,energy,Month,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_id,track_name,valence
403,3,0.181,Y2K,0.843,160627,0.391,9,0,2,0.137,-7.899,1,4,0.0845,23451885,129.972,4,51Fjme0JiitpyXKuyQiCDo,Lalala,0.496
404,4,0.0204,Lil Tecca,0.745,131240,0.642,9,0,7,0.0658,-6.257,0,5,0.287,22431808,179.974,4,6EOKwHETwSkZ9gW2b6ASE0,Ransom,0.226
405,5,0.751,Lewis Capaldi,0.501,182161,0.405,9,0,1,0.105,-5.679,1,6,0.0319,22367819,109.891,4,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,0.446
406,6,0.447,Post Malone,0.58,174960,0.653,9,0,5,0.111,-3.818,1,7,0.0745,22087615,150.231,4,6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug),0.175
407,7,0.0846,Anuel AA,0.786,301714,0.808,9,0.000289,7,0.0822,-3.702,1,8,0.0882,21869235,105.027,4,2ksOAxtIxY8yElEWw8RhgK,China,0.609
408,8,0.124,Ed Sheeran,0.64,197867,0.648,9,0,5,0.0802,-8.113,0,9,0.187,21197915,92.977,4,70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),0.548
409,9,0.00268,Ariana Grande,0.643,190107,0.721,9,6.51E-06,1,0.0898,-5.248,1,10,0.0449,20426656,102.914,4,3NkJNL3WqO1Lqc3uNDxvCN,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),0.317
410,10,0.0545,Post Malone,0.617,150867,0.684,9,0,0,0.104,-3.618,1,11,0.0439,19100378,132.113,4,05mDaV9Vb3wrzjF6OPZnhq,Saint-Tropez,0.295
411,11,0.153,Sam Smith,0.477,202205,0.682,9,0,1,0.0763,-4.931,0,12,0.0925,19076265,110.567,5,6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep?,0.345
412,12,0.328,Billie Eilish,0.701,194088,0.425,9,0.13,7,0.1,-10.965,1,13,0.375,18972964,135.128,4,2Fxmhks0bxGSBdJ92vM42m,bad guy,0.562
413,13,0.0912,Ed Sheeran,0.798,219947,0.675,9,0,6,0.0894,-5.041,1,14,0.0442,17880707,101.956,4,0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),0.842
414,14,0.533,Post Malone,0.755,157560,0.522,9,0,2,0.0685,-4.368,1,15,0.0575,17187889,89.96,4,0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,0.925
415,15,0.278,DJ Snake,0.694,185195,0.758,9,1.34E-06,11,0.102,-2.986,1,16,0.218,16438133,192.091,4,6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),0.371
416,16,0.342,Lil Nas X,0.703,114893,0.594,9,0,5,0.123,-6.146,0,17,0.0752,16004348,153.848,4,1000nHvUdawXuUHgBod4Wv,Panini,0.475
417,17,0.0906,Post Malone,0.499,229573,0.8,9,0,1,0.147,-2.665,0,18,0.0502,15849990,139.919,4,7CZyCXKG6d5ALeq41sLzbw,Take What You Want (feat. Ozzy Osbourne & Travis Scott),0.272
418,18,0.0533,Lil Nas X,0.878,157067,0.619,9,0,6,0.113,-5.56,1,19,0.102,14905189,136.041,4,2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,0.639
419,19,0.6,Bad Bunny,0.61,250534,0.624,9,2.12E-06,2,0.243,-4.773,1,20,0.309,14875264,176.169,4,2TH65lNHgvLxCKXM3apjxI,Callaita,0.244
420,20,0.11,Lizzo,0.715,173325,0.624,9,0,4,0.123,-3.046,0,21,0.114,14232128,158.087,4,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,0.412
421,21,0.462,ROSALÍA,0.78,201040,0.759,9,0.000868,1,0.143,-3.292,1,22,0.225,13917399,91.952,4,7BlBVFwvbWvcwNcUarQmjk,"Yo x Ti, Tu x Mi",0.579
422,22,0.152,J Balvin,0.754,242573,0.646,9,1.85E-05,7,0.108,-5.795,1,23,0.317,13876072,176.089,4,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,0.429
423,23,0.0169,Camila Cabello,0.74,207039,0.498,9,0.00282,11,0.319,-6.684,0,24,0.0456,13779950,98.016,4,7LzouaWGFCy4tkXDOOnEyM,Liar,0.652
424,24,0.0588,Post Malone,0.542,196760,0.674,9,0,6,0.0955,-4.169,1,25,0.21,13668509,76.388,4,0Xek5rqai2jcOWCYWJfVCF,Enemies (feat. DaBaby),0.667
425,25,0.331,Post Malone,0.405,156267,0.646,9,0,4,0.103,-3.206,0,26,0.0476,13629116,130.218,4,7sWRlDoTDX8geTR8zzr2vt,Hollywood's Bleeding,0.17
426,26,0.273,Camilo,0.731,178613,0.832,9,0,9,0.0665,-2.592,1,27,0.0503,13519134,146.013,4,1nocRtwyNPVtGcIJqfgdzZ,Tutu,0.94
